f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label,hand
0.0,0.0,0.0,-0.30837027369540876,-0.12181072962394907,-0.08531222331743014,-0.47861140680579084,-0.3685451436030953,-0.108761902120745,-0.5464824329447692,-0.6068303677609096,-0.12236870291661837,-0.5985355276893267,-0.7936223420291882,-0.1091732582905047,-0.34150596527809557,-0.7155272045658972,-0.023625918827796886,-0.44938476853324005,-0.6911789843290901,-0.0913922413260302,-0.35242434861888017,-0.4756069194997249,-0.11898710767812704,-0.29478206228432424,-0.5145660440136198,-0.13995236174075823,-0.18151953170840396,-0.751044349784216,-0.009213210659759382,-0.29394833214976085,-0.7097242979377849,-0.0907665915581428,-0.22858131375019167,-0.4621716491705299,-0.09369554533893841,-0.17492414879018522,-0.5252206039881451,-0.08661126663172902,-0.026392197300954056,-0.7150504711145865,-0.010864120653710868,-0.12164812910530866,-0.7311040525180764,-0.08477082320719377,-0.1080482458748168,-0.48765948170567947,-0.023656992845925442,-0.059686665875234045,-0.5257059906848786,0.026690260146855608,0.09673785039255753,-0.6585574565151238,-0.023189530504399824,0.05019304945520943,-0.6476259926870723,-0.05097801636717735,0.01748418423395368,-0.48763291825461447,-0.00914057386499255,0.04759486220747885,-0.5147876073440939,0.02592197175297531,A,left
0.0,0.0,0.0,-0.2834882237507841,-0.09486810223812786,-0.1077637090826728,-0.456046875789724,-0.36257424487235496,-0.1377828326940525,-0.5274104346662647,-0.6108986079777832,-0.1526950287076045,-0.5860935433235845,-0.7981841774355273,-0.13927087766642457,-0.3380113868165058,-0.6542265955455582,-0.046865259506598485,-0.40130461343338797,-0.7245802600408634,-0.13264337357922942,-0.3202861911858709,-0.4783815591806193,-0.16718618594175136,-0.28307565327449774,-0.5151604105702163,-0.19188414297293746,-0.15066216722927342,-0.690155098010508,-0.019512473036233123,-0.24365794734156607,-0.7619809080749652,-0.12321237538108787,-0.19959987388258263,-0.4741504010679106,-0.13263124224266853,-0.16836299515356953,-0.521996392463959,-0.12358360215734158,0.013947781015267545,-0.678059577776633,-0.010323541939199665,-0.07078083458875134,-0.776641339467423,-0.0955377966744967,-0.06956034860747652,-0.5033076221007756,-0.03683110477767747,-0.03700614327113562,-0.526198666441999,0.014885921935233241,0.1346729606088374,-0.6619576705143805,-0.012110025668460261,0.09430806512520555,-0.6802564525429277,-0.04044215334192895,0.06387279990816226,-0.5081025985222178,0.0001971305228338122,0.08823882571539622,-0.5333196034534009,0.034033687456606974,A,left
0.0,0.0,0.0,-0.2619352941354325,-0.05993511326478875,-0.11068676158859186,-0.454379842174421,-0.32900884735078095,-0.13632644925339318,-0.5372895361545503,-0.5935362843535524,-0.14883048624615966,-0.5972853686405322,-0.7912337002691423,-0.13114655910981762,-0.34724885771430913,-0.6378263695101934,-0.03783818659146032,-0.4076500674468179,-0.7370651657019847,-0.13417645916807885,-0.32005516478390383,-0.48274926016843317,-0.17011737839258134,-0.28312804964755833,-0.4965371100830366,-0.19065491781234464,-0.17458304994282622,-0.6777430326324425,-0.01714637659871897,-0.24674129189693889,-0.7809494367831693,-0.12733008030956666,-0.19577733435620512,-0.4828154397512444,-0.13480591600450806,-0.1727575418466668,-0.5196440499639996,-0.11953942746553434,-0.012384755393219331,-0.6822577688255107,-0.018595112917778243,-0.07573412357056658,-0.8110519735547629,-0.12101498098559044,-0.06316349746786751,-0.5276353983993047,-0.06036793212213124,-0.03778744971289156,-0.5418446790235922,0.0002832395009830639,0.12505844372462066,-0.6795432046506941,-0.03154106209538565,0.09231243668647802,-0.7419633284878749,-0.07692063614205386,0.07243628356770573,-0.5509228578353618,-0.03243561266292106,0.08969321042551325,-0.5526711564182414,0.010579140196021132,A,left
0.0,0.0,0.0,-0.26655975138373783,-0.05603112016394971,-0.11142072944131405,-0.47090541887656984,-0.31859324109811216,-0.13892160255735245,-0.5667256671846717,-0.5778998539990162,-0.15380965180463996,-0.617492370172435,-0.7744694741627449,-0.13747802140309615,-0.3668360256847877,-0.6310114180573779,-0.03811523640782381,-0.42678292778817495,-0.7409203623263421,-0.13465387751014712,-0.3361182578867465,-0.48395542871749225,-0.16678594587110007,-0.30070199062738634,-0.49972168998667627,-0.184886850861678,-0.18964607005147688,-0.6779737013547519,-0.01785418836288726,-0.26453789569362984,-0.7831211688905215,-0.1313088682407695,-0.2090933199468343,-0.4805745147229905,-0.13756770092853038,-0.18678554142370954,-0.5242380616855051,-0.12022220776551674,-0.024612044488158874,-0.6889698182871209,-0.019904263480051653,-0.09092030934998238,-0.8120857767106902,-0.12350563864841331,-0.07539169402310217,-0.5239229558931244,-0.060717106584646435,-0.05060454199850893,-0.5456976219353379,0.0017815236243245646,0.11343589092699605,-0.691761993534438,-0.03358969815387812,0.07696810071701751,-0.7449653903045764,-0.0766186002992417,0.05925239664873219,-0.5534308798288463,-0.030724119138399956,0.07831300559271451,-0.5621013360783838,0.012838650645983154,A,left
0.0,0.0,0.0,-0.262496803898586,-0.07164797838968592,-0.10616738535605194,-0.4499228287219708,-0.33737431482189606,-0.13364529163727976,-0.5319799257551975,-0.599289902755834,-0.14731756115800046,-0.5972650388431271,-0.7911533860621628,-0.1317224092479794,-0.3404214369649712,-0.6475653555026857,-0.05034586990958098,-0.40310068733077264,-0.747675326586749,-0.138503949827091,-0.3215169886920659,-0.49037168136052406,-0.16624212343379222,-0.28422883038022717,-0.5072051202350181,-0.18343739720501503,-0.16369052421888078,-0.6843389645045176,-0.028935073690299223,-0.24136173713553902,-0.788608326803551,-0.13549473484330182,-0.19723340633334083,-0.489885905118074,-0.1404488191831093,-0.17157282464286466,-0.5255533253943624,-0.1252922258259014,-0.0016484253269728824,-0.6806063918879093,-0.02613803802491393,-0.06859477590025914,-0.8121158144198688,-0.12116278846003403,-0.0625941255168786,-0.5270932816855267,-0.056956733266494024,-0.033534195905386296,-0.5391676551861209,0.002984585191243976,0.13017478650777622,-0.6723427668855874,-0.0340341600397814,0.09571464071512706,-0.7294961767715027,-0.0719000259021344,0.07125036716933454,-0.5416401845989667,-0.024787934780393636,0.09107707369064637,-0.5485234624018548,0.017782765331005396,A,left
0.0,0.0,0.0,-0.24818275472319168,-0.0696821234495174,-0.11805396047402236,-0.44490613363395926,-0.33683378697912414,-0.14956470587244308,-0.5332704516452363,-0.599496821286379,-0.16537460076193242,-0.5781455217455945,-0.8021417405178833,-0.1493866921932979,-0.332880739085622,-0.6506483588576114,-0.05800576845789087,-0.39759894339071883,-0.7518941339651039,-0.15474335814311307,-0.3157392760212351,-0.4940867583200205,-0.1830674056369598,-0.2788011075361634,-0.5070917687918107,-0.19867542608298716,-0.15576284941855872,-0.6838704642853235,-0.034483789174716215,-0.2309693380456027,-0.7859294032386517,-0.15088639967916806,-0.18716917131066382,-0.48235853940971357,-0.15447025897435032,-0.16087969749623748,-0.5196749594577649,-0.13555054322497348,0.007003264976704308,-0.6796323524593955,-0.03257211906043029,-0.05102017271777173,-0.8023569412325978,-0.14049551128395968,-0.0482953972062083,-0.5176622386627823,-0.0758516260395937,-0.021690383693519666,-0.5372891819654688,-0.011756271917852508,0.14441838311199615,-0.669802542716981,-0.0423096660347695,0.11333640258337684,-0.7267944252472635,-0.091318682316026,0.08807496326705469,-0.5365463214206059,-0.046820739503441226,0.10573880516245603,-0.544141058300329,-0.003719042922775999,A,left
0.0,0.0,0.0,-0.2588273693780445,-0.07264602024536998,-0.11344417079986349,-0.4494449080316002,-0.3390380064251654,-0.1423841006109736,-0.5351549909303553,-0.6021997596065919,-0.1551896940444816,-0.5888584754645406,-0.7965843250416943,-0.13674468534990755,-0.34823108423875404,-0.6409291943053872,-0.055565508417185765,-0.40387705630027676,-0.7529583151354832,-0.1428116092925441,-0.3235717162601333,-0.48762560345605244,-0.16576508580082744,-0.28991082879471963,-0.5045551624803204,-0.1801605998946093,-0.1683840739348375,-0.67959481210093,-0.029042438671793635,-0.24202834982029514,-0.7819720836864655,-0.1376024738517649,-0.20099031443250015,-0.4765364210582999,-0.1399925809945605,-0.18003361824698594,-0.5158750758065279,-0.12232627573139213,-0.005617609358837395,-0.6778594873708294,-0.022005121812691295,-0.069113598605629,-0.7993274833282225,-0.11900055951647849,-0.06402955451884364,-0.5151479074839672,-0.0539393948019791,-0.03688961382525738,-0.5364440278058372,0.0070311391195129755,0.12650404284544206,-0.6728253775894558,-0.02605405983161754,0.09075624578833151,-0.718413246089759,-0.06540716048561707,0.07000122393114032,-0.5317908823373044,-0.02025086657308342,0.09183887318583926,-0.5473306749389666,0.02080405796353826,A,left
0.0,0.0,0.0,-0.27321579337092317,-0.08690658753493076,-0.09564815827119616,-0.462878395530783,-0.3559286608499522,-0.11839410220923216,-0.5412132421876157,-0.6136057055654882,-0.1292911318477914,-0.5871938699157345,-0.8019920249187571,-0.10959995939823587,-0.3432463546664592,-0.6709816057924753,-0.03949001438721773,-0.42336562767123825,-0.7564951867021618,-0.12446596226165609,-0.34372685309287043,-0.49240732759333333,-0.14805065980987067,-0.3037794425928139,-0.5222726085543716,-0.16312884852948595,-0.165383170257271,-0.7013088454004582,-0.020877191686344426,-0.2593881895683129,-0.7901856958893494,-0.12780512464241234,-0.21583660205882363,-0.4835944598793329,-0.12835573689457247,-0.18451995256321443,-0.528746282673311,-0.10911447634916478,-0.003798131625390524,-0.6916144056876814,-0.020389507724104416,-0.08670297906930992,-0.8014240933311929,-0.11288058845898254,-0.08202042317137886,-0.5110907080736243,-0.04492282798794024,-0.04512033807973603,-0.5356233341241943,0.017468994489582713,0.12782048002966379,-0.6805209256936209,-0.0298168673094754,0.07847329163722783,-0.7169117702155374,-0.061487805545648755,0.05379563843603788,-0.5319655124274293,-0.012778105481806303,0.08326401453251996,-0.5562355098860292,0.02986088640940157,A,left
0.0,0.0,0.0,-0.26096653331058856,-0.0953102467408522,-0.07428832994371339,-0.43415738428940714,-0.38732578706218973,-0.08438927557729363,-0.4905369581768527,-0.6596133135493505,-0.08671055840240566,-0.540542182188993,-0.8390819978112996,-0.06128254419783526,-0.29530718159367597,-0.6902051543816193,-0.027121069534799206,-0.390282195530617,-0.7782255992081621,-0.10747984154724474,-0.31757295478010633,-0.5113335965536242,-0.12770320271759492,-0.26276832565545793,-0.5076398774593602,-0.13727772983828657,-0.1264788357938781,-0.7068630000517196,-0.018635557416421606,-0.22850739873388848,-0.8065671030688187,-0.11536102452702097,-0.19116398714576083,-0.49936083645936097,-0.10927575556138423,-0.14545968580023277,-0.510498985558182,-0.0852378965943088,0.031213376334777568,-0.6881906224484295,-0.0267715257947658,-0.06031973499954816,-0.817238456723583,-0.11451597949453315,-0.06284708130879449,-0.5169015514209909,-0.04284525433665837,-0.015071816055069551,-0.5075373145841489,0.02290044585107819,0.17262473973747755,-0.6673184055337021,-0.04327900866340406,0.10226750308815549,-0.7216682198121623,-0.07644914133791177,0.06922143118409989,-0.5278792500829366,-0.024635055238497523,0.10296730436552523,-0.5291252322612678,0.022052122249605892,A,left
0.0,0.0,0.0,-0.23106318495976336,-0.04871079204308216,-0.06211645885647087,-0.4148911947926023,-0.3712827238333681,-0.06725735316095002,-0.4597213482648705,-0.6808438333211534,-0.06851171947937186,-0.4861148512265827,-0.8727163548221814,-0.045370865572984934,-0.2576840954638741,-0.7053751506599583,-0.021437919228542258,-0.36492881722985043,-0.8092126177424254,-0.12244945609943045,-0.3136837453743967,-0.5343527416889188,-0.1547711095500212,-0.25360112929171086,-0.4842483248446476,-0.16533701440221812,-0.09210728926979428,-0.7119858855059514,-0.023212726351906084,-0.2036110191018373,-0.8234868420752823,-0.1323148408193633,-0.173274177716688,-0.5003911253623138,-0.12268003631466005,-0.11489145109992731,-0.48354295150263726,-0.08987623456226927,0.06716142944383871,-0.6896464103228841,-0.04467907594303625,-0.035723723338594596,-0.8311901218532338,-0.15601371211003623,-0.04372518914642498,-0.5028549884171241,-0.08414014758828897,0.009854246452844266,-0.46448436668471554,-0.00984657788039779,0.22409289057430434,-0.665185389165001,-0.07246028037851421,0.11970462940187085,-0.7298314693288948,-0.13349343225579885,0.0883139481860941,-0.5077739124320493,-0.08812904137339755,0.12918918787751787,-0.48298106436182214,-0.038721312585061236,A,left
0.0,0.0,0.0,-0.2344902076093237,-0.034811261787604186,-0.04345376456546671,-0.42244719079981524,-0.36545532708411355,-0.039842390336401544,-0.45581112514141564,-0.6869717590493886,-0.03773564378478563,-0.46816565015925055,-0.883562909998975,-0.011726384144714585,-0.2441621328232569,-0.7367886204787623,0.011427585862351925,-0.36317959511309444,-0.8385491992545613,-0.09561368272200627,-0.3178319748094364,-0.5604220948830642,-0.14553761717333993,-0.251295058644894,-0.493038245108138,-0.16920040117243554,-0.08705813555853029,-0.7412334135057278,-0.001001391947329031,-0.22064846614226122,-0.830656323584409,-0.10617140919805321,-0.18496865347801,-0.5065728412503773,-0.10096426172338621,-0.11131579648675162,-0.48856411436267233,-0.07474143205751131,0.06815563765020455,-0.7186824872186688,-0.03491347670135823,-0.053551115502140034,-0.843488101224686,-0.14223681824084694,-0.056552312635016304,-0.5076843290240776,-0.06742989839865707,0.008483490266272185,-0.46259547254455835,0.005349771423543319,0.23130217553231538,-0.6885445438442414,-0.07604338177946743,0.10384522955395577,-0.7417728157686766,-0.13951714418193276,0.07267827857055847,-0.5069687717759244,-0.09586527295927502,0.12111459446577724,-0.4757482923236849,-0.04866741008743305,A,left
